query,cran_id,n_terms,n_relevant,AP_vector,P10_vector,AP_bm25,P10_bm25,dAP,text
206,321,23,3,0.1633,0.20,0.2798,0.20,+0.1164,"how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities"
207,323,12,5,0.0046,0.00,0.0055,0.00,+0.0010,"how do large changes in new mass ratio quantitatively affect wing-flutter boundaries"
208,327,32,6,0.3394,0.30,0.3970,0.30,+0.0576,"what is the effect of the shape of the drag polar of a lifting spacecraft on the amount of reduction in maximum deceleration obtainable by continuously varying the aerodynamic coefficients during re-entry"
209,331,15,12,0.1153,0.10,0.1293,0.20,+0.0139,"what are the physical significance and characteristics of separated laminar and turbulent boundary layer flows"
210,332,23,6,0.3893,0.20,0.3373,0.20,-0.0520,"has anyone analytically investigated the stabilizing influence of soft elastic cores on the buckling strength of cylindrical shells subjected to non-uniform external pressure"
211,333,14,11,0.1798,0.10,0.1865,0.10,+0.0067,"what papers are available on the buckling of empty cylindrical shells under non-uniform pressure"
212,335,14,14,0.4954,0.50,0.5189,0.50,+0.0235,"what effect do thermal stresses have on the compressive buckling strength of ring-stiffened cylinders"
213,336,18,11,0.4675,0.60,0.5877,0.50,+0.1202,"what is the effect on cylinder buckling of a circumferential stress system that varies in the axial direction"
214,338,16,4,0.1750,0.10,0.1606,0.10,-0.0144,"can non-linear shallow shell analysis be reduced to an engineering technique by use of the matrix"
215,339,26,2,0.0429,0.00,0.0500,0.00,+0.0071,"is it possible to predict the shape of a shroud which will allow simulation of the nose region flow field for a sphere in hypersonic flow"
216,340,19,1,0.0018,0.00,0.0017,0.00,-0.0002,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
217,347,16,15,0.1351,0.20,0.1598,0.20,+0.0247,"has anyone investigated the effect of shock generated vorticity on heat transfer to a blunt body"
218,348,14,15,0.1334,0.20,0.2145,0.20,+0.0810,"what is the heat transfer to a blunt body in the absence of vorticity"
219,349,14,18,0.0367,0.00,0.0341,0.00,-0.0026,"what are the general effects on flow fields when the reynolds number is small"
220,352,20,19,0.1046,0.10,0.2147,0.20,+0.1101,"find a calculation procedure applicable to all incompressible laminar boundary layer flow problems having good accuracy and reasonable computation time"
221,353,15,18,0.1466,0.30,0.2364,0.30,+0.0899,"papers applicable to this problem calculation procedures for laminar incompressible flow with arbitrary pressure gradient"
222,355,9,9,0.6637,0.50,0.7819,0.60,+0.1182,"has anyone investigated the shear buckling of stiffened plates"
223,356,10,4,0.4407,0.20,0.5014,0.30,+0.0606,"papers on shear buckling of unstiffened rectangular plates under shear"
224,360,25,8,0.0810,0.10,0.1756,0.30,+0.0946,"in practice how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium"
225,365,15,24,0.0537,0.20,0.0624,0.20,+0.0086,"what design factors can be used to control lift-drag ratios at mach numbers above 5"
