preprocessing,k1,b,ranked_by,direction,position,query,cran_id,AP@all_vector,AP@all_bm25,AP@10_vector,AP@10_bm25,P@10_vector,P@10_bm25,R@10_vector,R@10_bm25,F1@10_vector,F1@10_bm25,RR_vector,RR_bm25,NDCG@10_vector,NDCG@10_bm25,n_terms,n_relevant,rel_len_ratio,text
stopwords+stemming,1.2,0.75,F1@10,vector_better,5,155,230,0.4049,0.2185,0.4028,0.1667,0.3000,0.1000,0.5000,0.1667,0.3750,0.1250,1.0000,1.0000,0.3784,0.2251,6,6,0.855,"technical report on measurement of ablation during flight"
stopwords+stemming,1.2,0.75,F1@10,vector_better,6,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,F1@10,vector_better,7,37,66,0.0913,0.0541,0.0593,0.0000,0.2000,0.0000,0.2222,0.0000,0.2105,0.0000,0.2000,0.0588,0.1466,0.0000,6,9,1.163,"are there any theoretical methods for predicting base pressure"
stopwords+stemming,1.2,0.75,F1@10,vector_better,8,122,177,0.1841,0.1145,0.1019,0.0139,0.3000,0.1000,0.3333,0.1111,0.3158,0.1053,0.3333,0.1250,0.2091,0.0312,14,9,0.660,"what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords+stemming,1.2,0.75,F1@10,vector_better,9,45,80,0.2346,0.1718,0.1750,0.0833,0.3000,0.1000,0.2500,0.0833,0.2727,0.0909,1.0000,1.0000,0.4685,0.2799,10,12,1.314,"has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions"
stopwords+stemming,1.2,0.75,F1@10,vector_better,10,168,254,0.2250,0.1167,0.2250,0.0833,0.2000,0.1000,1.0000,0.5000,0.3333,0.1667,0.2000,0.1667,0.4306,0.2184,15,2,0.506,"what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle ie finding the flow in a given nozzle"
stopwords+stemming,1.2,0.75,RR,bm25_better,1,220,352,0.1046,0.2147,0.0066,0.1053,0.1000,0.2000,0.0526,0.1053,0.0690,0.1379,0.1250,1.0000,0.0589,0.2455,17,19,1.221,"find a calculation procedure applicable to all incompressible laminar boundary layer flow problems having good accuracy and reasonable computation time"
stopwords+stemming,1.2,0.75,RR,bm25_better,2,8,13,0.1217,0.1662,0.0182,0.0909,0.1000,0.1000,0.0909,0.0909,0.0952,0.0952,0.2000,1.0000,0.1033,0.2670,13,11,1.086,"what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack"
stopwords+stemming,1.2,0.75,RR,bm25_better,3,18,33,0.0992,0.3559,0.0833,0.3333,0.1000,0.1000,0.3333,0.3333,0.1538,0.1538,0.2500,1.0000,0.2021,0.4693,8,3,1.566,"are experimental pressure distributions on bodies of revolution at angle of attack available"
stopwords+stemming,1.2,0.75,RR,bm25_better,4,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,RR,bm25_better,5,61,102,0.3031,0.5449,0.2524,0.4667,0.3000,0.3000,0.6000,0.6000,0.4000,0.4000,0.3333,1.0000,0.4707,0.6294,10,5,1.220,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
stopwords+stemming,1.2,0.75,RR,bm25_better,6,100,149,0.1852,0.3131,0.0926,0.2593,0.2000,0.3000,0.2222,0.3333,0.2105,0.3158,0.3333,1.0000,0.2522,0.4963,11,9,1.108,"what are the effects of initial imperfections on the elastic buckling of cylindrical shells under axial compression"
stopwords+stemming,1.2,0.75,RR,bm25_better,7,91,139,0.2076,0.3237,0.1157,0.2296,0.3000,0.4000,0.3333,0.4444,0.3158,0.4211,0.3333,1.0000,0.2751,0.5324,6,9,1.373,"what interference effects are likely at transonic speeds"
stopwords+stemming,1.2,0.75,RR,bm25_better,8,157,232,0.2107,0.2828,0.0587,0.1523,0.5000,0.7000,0.1282,0.1795,0.2041,0.2857,0.3333,1.0000,0.3577,0.6307,16,39,1.089,"have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes"
stopwords+stemming,1.2,0.75,RR,bm25_better,9,173,264,0.5833,1.0000,0.5833,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,1.0000,9,2,0.541,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords+stemming,1.2,0.75,RR,bm25_better,10,205,317,0.3611,0.7000,0.3611,0.7000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.5714,0.8503,12,2,1.542,"has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer"
stopwords+stemming,1.2,0.75,RR,vector_better,1,148,218,0.4615,0.1888,0.4167,0.1389,0.3000,0.2000,0.5000,0.3333,0.3750,0.2500,1.0000,0.3333,0.6413,0.3194,7,6,0.731,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords+stemming,1.2,0.75,RR,vector_better,2,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,RR,vector_better,3,144,214,0.6354,0.3853,0.5444,0.3677,0.5000,0.5000,0.8333,0.8333,0.6250,0.6250,1.0000,0.3333,0.7867,0.5388,23,6,0.542,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords+stemming,1.2,0.75,RR,vector_better,4,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,RR,vector_better,5,110,161,0.2806,0.1070,0.2500,0.0833,0.1000,0.1000,0.2500,0.2500,0.1429,0.1429,1.0000,0.3333,0.5029,0.2514,12,4,0.421,"can increasing the edge loading of a plate beyond the critical value for buckling change the buckling mode"
stopwords+stemming,1.2,0.75,RR,vector_better,6,183,277,0.6471,0.2918,0.6068,0.1670,0.8000,0.4000,0.6154,0.3077,0.6957,0.3478,1.0000,0.5000,0.4364,0.2776,11,13,1.069,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords+stemming,1.2,0.75,RR,vector_better,7,146,216,0.8333,0.5833,0.8333,0.5833,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,1.0000,0.5000,0.7602,0.6199,12,2,0.351,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords+stemming,1.2,0.75,RR,vector_better,8,17,32,0.5083,0.2598,0.5000,0.2500,0.1000,0.1000,0.5000,0.5000,0.1667,0.1667,1.0000,0.5000,0.7039,0.4441,12,2,0.756,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords+stemming,1.2,0.75,RR,vector_better,9,77,120,0.5452,0.3483,0.4069,0.2381,0.4000,0.3000,0.6667,0.5000,0.5000,0.3750,1.0000,0.5000,0.4635,0.2950,13,6,1.440,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords+stemming,1.2,0.75,RR,vector_better,10,88,136,0.8556,0.6746,0.8556,0.6746,0.6000,0.6000,1.0000,1.0000,0.7500,0.7500,1.0000,0.5000,0.9526,0.7609,16,6,0.811,"how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,1,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,2,167,253,0.1484,0.5000,0.0714,0.5000,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.1429,0.5000,0.2346,0.6462,14,2,1.788,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,3,136,205,0.2097,0.4196,0.1667,0.4000,0.1000,0.2000,0.3333,0.6667,0.1538,0.3077,0.5000,1.0000,0.4919,0.8359,9,3,0.691,"what are the results for the creep buckling of round tubes under external pressure"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,4,43,74,0.4301,0.5893,0.3194,0.5536,0.3000,0.4000,0.5000,0.6667,0.3750,0.5000,0.5000,1.0000,0.4954,0.8020,13,6,0.759,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,5,173,264,0.5833,1.0000,0.5833,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,1.0000,9,2,0.541,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,6,205,317,0.3611,0.7000,0.3611,0.7000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.5714,0.8503,12,2,1.542,"has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,7,157,232,0.2107,0.2828,0.0587,0.1523,0.5000,0.7000,0.1282,0.1795,0.2041,0.2857,0.3333,1.0000,0.3577,0.6307,16,39,1.089,"have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,8,164,250,0.3401,0.5163,0.2396,0.4750,0.3000,0.4000,0.3750,0.5000,0.3333,0.4444,0.5000,1.0000,0.4024,0.6703,6,8,1.276,"what determines the onset of shock-induced boundary-layer separation"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,9,18,33,0.0992,0.3559,0.0833,0.3333,0.1000,0.1000,0.3333,0.3333,0.1538,0.1538,0.2500,1.0000,0.2021,0.4693,8,3,1.566,"are experimental pressure distributions on bodies of revolution at angle of attack available"
stopwords+stemming,1.2,0.75,NDCG@10,bm25_better,10,96,145,0.2458,0.3690,0.0949,0.2687,0.3000,0.6000,0.2308,0.4615,0.2609,0.5217,0.5000,0.5000,0.2277,0.4887,10,13,1.303,"has anyone investigated the unsteady lift distributions on finite wings in subsonic flow"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,1,145,215,0.4309,0.1667,0.3873,0.0833,0.4000,0.2000,0.5714,0.2857,0.4706,0.2353,1.0000,0.3333,0.5854,0.2048,13,7,0.640,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,2,148,218,0.4615,0.1888,0.4167,0.1389,0.3000,0.2000,0.5000,0.3333,0.3750,0.2500,1.0000,0.3333,0.6413,0.3194,7,6,0.731,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,3,174,265,0.1932,0.0624,0.1667,0.0250,0.2000,0.1000,0.4000,0.2000,0.2667,0.1333,0.5000,0.1250,0.3870,0.1237,9,5,0.977,"obtain all papers and reports that contain shock detachment distance data"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,4,17,32,0.5083,0.2598,0.5000,0.2500,0.1000,0.1000,0.5000,0.5000,0.1667,0.1667,1.0000,0.5000,0.7039,0.4441,12,2,0.756,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,5,110,161,0.2806,0.1070,0.2500,0.0833,0.1000,0.1000,0.2500,0.2500,0.1429,0.1429,1.0000,0.3333,0.5029,0.2514,12,4,0.421,"can increasing the edge loading of a plate beyond the critical value for buckling change the buckling mode"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,6,123,181,0.1083,0.0524,0.0833,0.0000,0.1000,0.0000,0.5000,0.0000,0.1667,0.0000,0.1667,0.0476,0.2507,0.0000,12,2,1.192,"has any work been done on determining the nature of compressible viscous flow in a straight channel"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,7,144,214,0.6354,0.3853,0.5444,0.3677,0.5000,0.5000,0.8333,0.8333,0.6250,0.6250,1.0000,0.3333,0.7867,0.5388,23,6,0.542,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,8,191,294,0.5660,0.3650,0.3417,0.0513,0.6000,0.2000,0.4615,0.1538,0.5217,0.1739,1.0000,0.3333,0.3545,0.1253,13,13,0.946,"what is the criterion for true panel flutter as opposed to small amplitude vibration arising from acoustic disturbances"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,9,168,254,0.2250,0.1167,0.2250,0.0833,0.2000,0.1000,1.0000,0.5000,0.3333,0.1667,0.2000,0.1667,0.4306,0.2184,15,2,0.506,"what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle ie finding the flow in a given nozzle"
stopwords+stemming,1.2,0.75,NDCG@10,vector_better,10,197,300,0.7917,0.6270,0.7917,0.5556,0.3000,0.2000,1.0000,0.6667,0.4615,0.3077,1.0000,1.0000,0.8597,0.6652,8,3,0.678,"how is fatigue damage estimated using the normal long-hand method"
