preprocessing,k1,b,category,rank,query,cran_id,AP@all_vector,AP@all_bm25,dAP@all,P@10_vector,P@10_bm25,n_relevant,n_terms,text
raw,2,1,both_poor,2,142,212,0.0013,0.0016,+0.0003,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,2,1,both_poor,3,28,53,0.0018,0.0018,-0.0000,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,2,1,both_poor,4,22,40,0.0018,0.0020,+0.0001,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,2,1,both_poor,5,216,340,0.0025,0.0020,-0.0005,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
raw,2,1,both_poor,6,44,79,0.0024,0.0027,+0.0003,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,2,1,both_poor,7,13,26,0.0034,0.0032,-0.0002,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
raw,2,1,both_poor,8,124,182,0.0039,0.0041,+0.0002,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
raw,2,1,both_poor,9,63,104,0.0049,0.0047,-0.0002,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
raw,2,1,both_poor,10,139,209,0.0058,0.0049,-0.0009,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
stopwords,0.5,0,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,0.5,0,bm25_better,2,150,223,0.5833,1.0000,+0.4167,0.20,0.20,2,13,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords,0.5,0,bm25_better,3,143,213,0.1268,0.5400,+0.4132,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,0.5,0,bm25_better,4,95,143,0.2121,0.6250,+0.4129,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,0.5,0,bm25_better,5,167,253,0.1101,0.5000,+0.3899,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords,0.5,0,bm25_better,6,81,126,0.1603,0.5357,+0.3755,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stopwords,0.5,0,bm25_better,7,223,356,0.3255,0.6528,+0.3272,0.10,0.40,4,10,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,0.5,0,bm25_better,8,61,102,0.2092,0.4628,+0.2537,0.20,0.20,5,15,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
stopwords,0.5,0,bm25_better,9,164,250,0.3272,0.5771,+0.2499,0.30,0.50,8,8,"what determines the onset of shock-induced boundary-layer separation"
stopwords,0.5,0,bm25_better,10,169,255,0.1867,0.4185,+0.2318,0.20,0.20,4,29,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
stopwords,0.5,0,vector_better,1,52,87,0.8611,0.1433,-0.7178,0.40,0.10,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,0.5,0,vector_better,2,67,108,0.6480,0.1839,-0.4640,0.80,0.10,14,17,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords,0.5,0,vector_better,3,17,32,0.5115,0.0520,-0.4595,0.10,0.00,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,0.5,0,vector_better,4,77,120,0.7338,0.3502,-0.3836,0.50,0.30,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,0.5,0,vector_better,5,146,216,0.7500,0.3750,-0.3750,0.20,0.20,2,18,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords,0.5,0,vector_better,6,197,300,0.7917,0.4365,-0.3552,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
stopwords,0.5,0,vector_better,7,64,105,0.3929,0.0437,-0.3491,0.20,0.00,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords,0.5,0,vector_better,8,155,230,0.4611,0.1187,-0.3424,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
stopwords,0.5,0,vector_better,9,144,214,0.7583,0.4245,-0.3339,0.50,0.40,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords,0.5,0,vector_better,10,183,277,0.4992,0.1678,-0.3314,0.60,0.20,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords,0.5,0,both_poor,1,13,26,0.0000,0.0000,+0.0000,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
stopwords,0.5,0,both_poor,2,44,79,0.0000,0.0000,+0.0000,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
stopwords,0.5,0,both_poor,3,22,40,0.0000,0.0000,+0.0000,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
stopwords,0.5,0,both_poor,4,31,56,0.0000,0.0000,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
stopwords,0.5,0,both_poor,5,28,53,0.0008,0.0007,-0.0002,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
stopwords,0.5,0,both_poor,6,142,212,0.0014,0.0013,-0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
stopwords,0.5,0,both_poor,7,216,340,0.0026,0.0022,-0.0003,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
stopwords,0.5,0,both_poor,8,124,182,0.0039,0.0034,-0.0005,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords,0.5,0,both_poor,9,63,104,0.0049,0.0049,+0.0001,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
stopwords,0.5,0,both_poor,10,207,323,0.0053,0.0050,-0.0003,0.00,0.00,5,12,"how do large changes in new mass ratio quantitatively affect wing-flutter boundaries"
stopwords,0.5,0.75,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,0.5,0.75,bm25_better,2,95,143,0.2121,0.6429,+0.4307,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,0.5,0.75,bm25_better,3,143,213,0.1268,0.5476,+0.4208,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,0.5,0.75,bm25_better,4,81,126,0.1603,0.5667,+0.4064,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stopwords,0.5,0.75,bm25_better,5,167,253,0.1101,0.3667,+0.2565,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords,0.5,0.75,bm25_better,6,136,205,0.2105,0.4644,+0.2540,0.10,0.20,3,14,"what are the results for the creep buckling of round tubes under external pressure"
stopwords,0.5,0.75,bm25_better,7,164,250,0.3272,0.5275,+0.2003,0.30,0.40,8,8,"what determines the onset of shock-induced boundary-layer separation"
stopwords,0.5,0.75,bm25_better,8,91,139,0.1678,0.3525,+0.1847,0.20,0.40,9,8,"what interference effects are likely at transonic speeds"
stopwords,0.5,0.75,bm25_better,9,154,227,0.3929,0.5714,+0.1786,0.20,0.10,2,13,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
stopwords,0.5,0.75,bm25_better,10,15,29,0.8333,1.0000,+0.1667,0.20,0.20,2,5,"material properties of photoelastic materials"
stopwords,0.5,0.75,vector_better,1,52,87,0.8611,0.2829,-0.5782,0.40,0.20,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,0.5,0.75,vector_better,2,155,230,0.4611,0.1219,-0.3392,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
stopwords,0.5,0.75,vector_better,3,17,32,0.5115,0.1779,-0.3336,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,0.5,0.75,vector_better,4,197,300,0.7917,0.4603,-0.3313,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
stopwords,0.5,0.75,vector_better,5,183,277,0.4992,0.1710,-0.3282,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords,0.5,0.75,vector_better,6,64,105,0.3929,0.1123,-0.2805,0.20,0.10,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords,0.5,0.75,vector_better,7,178,269,0.5095,0.2399,-0.2696,0.30,0.20,4,12,"has a criterion been established for determining the axial compressor choking line"
stopwords,0.5,0.75,vector_better,8,60,101,0.5395,0.2868,-0.2527,0.30,0.30,5,22,"is there any simple but practical method for numerical integration of the mixing problem ie the blasius problem with three-point boundary conditions"
stopwords,0.5,0.75,vector_better,9,77,120,0.7338,0.4824,-0.2514,0.50,0.40,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,0.5,0.75,vector_better,10,145,215,0.5072,0.2651,-0.2422,0.40,0.30,7,18,"what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending"
stopwords,0.5,0.75,both_poor,1,13,26,0.0000,0.0000,+0.0000,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
stopwords,0.5,0.75,both_poor,2,44,79,0.0000,0.0000,+0.0000,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
stopwords,0.5,0.75,both_poor,3,22,40,0.0000,0.0000,+0.0000,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
stopwords,0.5,0.75,both_poor,4,31,56,0.0000,0.0000,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
stopwords,0.5,0.75,both_poor,5,28,53,0.0008,0.0008,-0.0001,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
stopwords,0.5,0.75,both_poor,6,142,212,0.0014,0.0014,+0.0000,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
stopwords,0.5,0.75,both_poor,7,216,340,0.0026,0.0021,-0.0005,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
stopwords,0.5,0.75,both_poor,8,124,182,0.0039,0.0036,-0.0003,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords,0.5,0.75,both_poor,9,63,104,0.0049,0.0047,-0.0002,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
stopwords,0.5,0.75,both_poor,10,207,323,0.0053,0.0053,-0.0000,0.00,0.00,5,12,"how do large changes in new mass ratio quantitatively affect wing-flutter boundaries"
stopwords,0.5,1,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,0.5,1,bm25_better,2,95,143,0.2121,0.6667,+0.4545,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,0.5,1,bm25_better,3,143,213,0.1268,0.5435,+0.4167,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,0.5,1,bm25_better,4,136,205,0.2105,0.4494,+0.2389,0.10,0.20,3,14,"what are the results for the creep buckling of round tubes under external pressure"
stopwords,0.5,1,bm25_better,5,167,253,0.1101,0.3333,+0.2232,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords,0.5,1,bm25_better,6,84,131,0.1175,0.3290,+0.2114,0.20,0.30,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
stopwords,0.5,1,bm25_better,7,81,126,0.1603,0.3611,+0.2009,0.10,0.20,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stopwords,0.5,1,bm25_better,8,164,250,0.3272,0.5226,+0.1955,0.30,0.40,8,8,"what determines the onset of shock-induced boundary-layer separation"
stopwords,0.5,1,bm25_better,9,206,321,0.1960,0.3914,+0.1954,0.20,0.20,3,23,"how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities"
stopwords,0.5,1,bm25_better,10,154,227,0.3929,0.5714,+0.1786,0.20,0.10,2,13,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
stopwords,0.5,1,vector_better,1,52,87,0.8611,0.3837,-0.4774,0.40,0.20,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,0.5,1,vector_better,2,155,230,0.4611,0.1235,-0.3376,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
stopwords,0.5,1,vector_better,3,183,277,0.4992,0.1714,-0.3278,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords,0.5,1,vector_better,4,197,300,0.7917,0.4658,-0.3259,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
stopwords,0.5,1,vector_better,5,64,105,0.3929,0.0968,-0.2960,0.20,0.10,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords,0.5,1,vector_better,6,60,101,0.5395,0.2506,-0.2889,0.30,0.30,5,22,"is there any simple but practical method for numerical integration of the mixing problem ie the blasius problem with three-point boundary conditions"
stopwords,0.5,1,vector_better,7,17,32,0.5115,0.2611,-0.2504,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,0.5,1,vector_better,8,148,218,0.4294,0.1896,-0.2399,0.30,0.20,6,10,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords,0.5,1,vector_better,9,178,269,0.5095,0.2726,-0.2369,0.30,0.30,4,12,"has a criterion been established for determining the axial compressor choking line"
stopwords,0.5,1,vector_better,10,77,120,0.7338,0.5071,-0.2267,0.50,0.40,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,0.5,1,both_poor,1,13,26,0.0000,0.0000,+0.0000,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
stopwords,0.5,1,both_poor,2,44,79,0.0000,0.0000,+0.0000,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
stopwords,0.5,1,both_poor,3,22,40,0.0000,0.0000,+0.0000,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
stopwords,0.5,1,both_poor,4,31,56,0.0000,0.0000,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
stopwords,0.5,1,both_poor,5,28,53,0.0008,0.0008,+0.0000,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
stopwords,0.5,1,both_poor,6,142,212,0.0014,0.0015,+0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
stopwords,0.5,1,both_poor,7,216,340,0.0026,0.0020,-0.0005,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
stopwords,0.5,1,both_poor,8,124,182,0.0039,0.0036,-0.0003,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords,0.5,1,both_poor,9,63,104,0.0049,0.0047,-0.0002,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
stopwords,0.5,1,both_poor,10,207,323,0.0053,0.0053,+0.0000,0.00,0.00,5,12,"how do large changes in new mass ratio quantitatively affect wing-flutter boundaries"
stopwords,1.2,0,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,1.2,0,bm25_better,2,143,213,0.1268,0.5588,+0.4320,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,1.2,0,bm25_better,3,150,223,0.5833,1.0000,+0.4167,0.20,0.20,2,13,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords,1.2,0,bm25_better,4,95,143,0.2121,0.5833,+0.3712,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,1.2,0,bm25_better,5,81,126,0.1603,0.5312,+0.3710,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
stopwords,1.2,0,bm25_better,6,223,356,0.3255,0.6667,+0.3411,0.10,0.30,4,10,"papers on shear buckling of unstiffened rectangular plates under shear"
stopwords,1.2,0,bm25_better,7,169,255,0.1867,0.5020,+0.3152,0.20,0.20,4,29,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle ie finding a nozzle which has a given axial velocity distribution"
stopwords,1.2,0,bm25_better,8,167,253,0.1101,0.4167,+0.3065,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords,1.2,0,bm25_better,9,61,102,0.2092,0.4573,+0.2481,0.20,0.20,5,15,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
stopwords,1.2,0,bm25_better,10,164,250,0.3272,0.5483,+0.2211,0.30,0.50,8,8,"what determines the onset of shock-induced boundary-layer separation"
stopwords,1.2,0,vector_better,1,52,87,0.8611,0.1772,-0.6840,0.40,0.10,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,1.2,0,vector_better,2,17,32,0.5115,0.0473,-0.4642,0.10,0.00,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,1.2,0,vector_better,3,67,108,0.6480,0.1928,-0.4552,0.80,0.20,14,17,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
stopwords,1.2,0,vector_better,4,146,216,0.7500,0.3095,-0.4405,0.20,0.20,2,18,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
stopwords,1.2,0,vector_better,5,77,120,0.7338,0.3444,-0.3895,0.50,0.30,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,1.2,0,vector_better,6,64,105,0.3929,0.0490,-0.3439,0.20,0.00,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords,1.2,0,vector_better,7,197,300,0.7917,0.4603,-0.3313,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
stopwords,1.2,0,vector_better,8,144,214,0.7583,0.4277,-0.3306,0.50,0.40,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords,1.2,0,vector_better,9,155,230,0.4611,0.1417,-0.3194,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
stopwords,1.2,0,vector_better,10,24,49,0.5022,0.1979,-0.3043,0.20,0.20,3,14,"what are the factors which influence the time required to invert large structural matrices"
stopwords,1.2,0,both_poor,1,13,26,0.0000,0.0000,+0.0000,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
stopwords,1.2,0,both_poor,2,44,79,0.0000,0.0000,+0.0000,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
stopwords,1.2,0,both_poor,3,22,40,0.0000,0.0000,+0.0000,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
stopwords,1.2,0,both_poor,4,31,56,0.0000,0.0000,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
stopwords,1.2,0,both_poor,5,28,53,0.0008,0.0007,-0.0002,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
stopwords,1.2,0,both_poor,6,142,212,0.0014,0.0013,-0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
stopwords,1.2,0,both_poor,7,216,340,0.0026,0.0026,+0.0000,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
stopwords,1.2,0,both_poor,8,124,182,0.0039,0.0035,-0.0004,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords,1.2,0,both_poor,9,63,104,0.0049,0.0050,+0.0001,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
stopwords,1.2,0,both_poor,10,207,323,0.0053,0.0057,+0.0004,0.00,0.00,5,12,"how do large changes in new mass ratio quantitatively affect wing-flutter boundaries"
stopwords,1.2,0.75,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,1.2,0.75,bm25_better,2,143,213,0.1268,0.5625,+0.4357,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,1.2,0.75,bm25_better,3,95,143,0.2121,0.5909,+0.3788,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,1.2,0.75,bm25_better,4,76,119,0.1793,0.4494,+0.2701,0.20,0.30,7,23,"how far can one trust the linear viscosity-temperature solution assumed in some of the analyses of hypersonic shock layer at low reynolds number"
stopwords,1.2,0.75,bm25_better,5,84,131,0.1175,0.3770,+0.2594,0.20,0.40,11,20,"references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow"
stopwords,1.2,0.75,bm25_better,6,181,274,0.1293,0.3644,+0.2350,0.10,0.20,5,7,"jet interference with supersonic flows theoretical papers"
stopwords,1.2,0.75,bm25_better,7,154,227,0.3929,0.6250,+0.2321,0.20,0.20,2,13,"which iterative method for solving linear elliptic difference equations is most rapidly convergent"
stopwords,1.2,0.75,bm25_better,8,167,253,0.1101,0.3333,+0.2232,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords,1.2,0.75,bm25_better,9,200,304,0.2341,0.4527,+0.2186,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
stopwords,1.2,0.75,bm25_better,10,206,321,0.1960,0.3914,+0.1954,0.20,0.20,3,23,"how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities"
stopwords,1.2,0.75,vector_better,1,52,87,0.8611,0.4222,-0.4389,0.40,0.30,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
stopwords,1.2,0.75,vector_better,2,197,300,0.7917,0.4889,-0.3028,0.30,0.30,3,10,"how is fatigue damage estimated using the normal long-hand method"
stopwords,1.2,0.75,vector_better,3,64,105,0.3929,0.1294,-0.2634,0.20,0.10,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
stopwords,1.2,0.75,vector_better,4,17,32,0.5115,0.2628,-0.2487,0.10,0.10,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
stopwords,1.2,0.75,vector_better,5,183,277,0.4992,0.2559,-0.2433,0.60,0.40,13,14,"what factors have been shown to have a primary influence on sonic boom strength"
stopwords,1.2,0.75,vector_better,6,148,218,0.4294,0.1972,-0.2323,0.30,0.20,6,10,"papers on small deflection theory for buckling of sandwich cylinders"
stopwords,1.2,0.75,vector_better,7,155,230,0.4611,0.2443,-0.2168,0.30,0.20,6,8,"technical report on measurement of ablation during flight"
stopwords,1.2,0.75,vector_better,8,177,268,0.5761,0.3850,-0.1910,0.30,0.30,5,14,"what mode of stalling can be expected for each stage of an axial compressor"
stopwords,1.2,0.75,vector_better,9,144,214,0.7583,0.5797,-0.1787,0.50,0.50,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
stopwords,1.2,0.75,vector_better,10,77,120,0.7338,0.5758,-0.1581,0.50,0.40,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
stopwords,1.2,0.75,both_poor,1,13,26,0.0000,0.0000,+0.0000,0.00,0.00,4,10,"what is the basic mechanism of the transonic aileron buzz"
stopwords,1.2,0.75,both_poor,2,44,79,0.0000,0.0000,+0.0000,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
stopwords,1.2,0.75,both_poor,3,22,40,0.0000,0.0000,+0.0000,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
stopwords,1.2,0.75,both_poor,4,31,56,0.0000,0.0000,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
stopwords,1.2,0.75,both_poor,5,28,53,0.0008,0.0008,-0.0000,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
stopwords,1.2,0.75,both_poor,6,142,212,0.0014,0.0014,+0.0001,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
stopwords,1.2,0.75,both_poor,7,216,340,0.0026,0.0022,-0.0003,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
stopwords,1.2,0.75,both_poor,8,124,182,0.0039,0.0038,-0.0001,0.00,0.00,4,38,"in what areas other than low density wind tunnel flows is viscous compressible flow in slender channels a problem what analytical investigations have been made of the stability of conical shells how do the results compare with experiment"
stopwords,1.2,0.75,both_poor,9,63,104,0.0049,0.0046,-0.0002,0.00,0.00,3,11,"where can i find pressure data on surfaces of swept cylinders"
stopwords,1.2,0.75,both_poor,10,139,209,0.0058,0.0047,-0.0011,0.00,0.00,4,23,"has the effect of the change of initial pressure due to deformation on the frequencies of vibration of circular cylindrical shells been investigated"
stopwords,1.2,1,bm25_better,1,173,264,0.3611,0.8333,+0.4722,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords,1.2,1,bm25_better,2,143,213,0.1268,0.5667,+0.4399,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords,1.2,1,bm25_better,3,95,143,0.2121,0.5909,+0.3788,0.10,0.10,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
stopwords,1.2,1,bm25_better,4,181,274,0.1293,0.3647,+0.2354,0.10,0.20,5,7,"jet interference with supersonic flows theoretical papers"
